sequence,numInputPointsT,numOutputPointsT,numBitsTotalDecT,numBitsGeoEncT,numBitsRgbEncT,numBitsRefEncT,d1T,d2T,lumaT,cbT,crT,refT,encTimeT,decTimeT,bppGeo,bppRgb,bppRef,bppTotal
facade_00009_vox12,1596085,83325,152816,133368,18952.0,,58.9169,62.4979,18.674,36.0798,35.3947,,,,0.08355946,0.01187405,,0.09574427
facade_00009_vox12,1596085,299675,679192,525400,153296.0,,64.8417,68.8602,23.1882,37.419,36.5242,,,,0.32918046,0.09604501,,0.42553623
facade_00009_vox12,1596085,889222,2792448,2122112,669832.0,,70.4839,74.9272,28.3958,39.7728,38.5393,,,,1.3295733,0.41967188,,1.74956096
facade_00009_vox12,1596085,1560786,8630088,6678856,1950648.0,,75.2512,79.4189,33.4365,42.8161,41.0246,,,,4.18452401,1.22214544,,5.40703534
facade_00009_vox12,1596085,1583490,13213848,9634912,3578352.0,,80.0264,84.5114,38.7173,45.0401,43.2439,,,,6.03659078,2.24195579,,8.27891246
house_without_roof_00057_vox12,4848745,32651,40416,37920,2000.0,,52.922,56.7874,18.8825,32.3368,36.5382,,,,0.00782058,0.00041248,,0.00833535
house_without_roof_00057_vox12,4848745,132569,164944,150088,14360.0,,58.9252,62.9126,22.3277,34.4711,37.5067,,,,0.03095399,0.00296159,,0.03401787
house_without_roof_00057_vox12,4848745,516125,773472,666664,106312.0,,64.8379,69.0999,26.1203,37.0477,39.4141,,,,0.13749207,0.02192567,,0.15952004
house_without_roof_00057_vox12,4848745,1724414,3805376,3139840,664792.0,,70.4832,75.1324,29.2533,39.7962,41.4044,,,,0.64755725,0.13710599,,0.78481669
house_without_roof_00057_vox12,4848745,3638139,14489208,11794976,2693408.0,,75.254,79.961,32.612,42.6148,43.6085,,,,2.43258328,0.55548559,,2.98823881
house_without_roof_00057_vox12,4848745,4309399,25939832,19755944,6182984.0,,80.0256,84.7649,36.3854,44.5811,45.2436,,,,4.07444483,1.27517203,,5.3498033
landscape_00014_vox14,71948094,3647,4824,4064,272.0,,46.9692,51.7778,16.8181,27.1654,32.8622,,,,5.649e-05,3.78e-06,,6.705e-05
landscape_00014_vox14,71948094,14266,14928,12368,2064.0,,52.9819,57.5416,19.1166,29.7412,33.2417,,,,0.0001719,2.869e-05,,0.00020748
landscape_00014_vox14,71948094,58605,60752,44112,16144.0,,58.9007,63.1017,20.8878,33.0538,34.7242,,,,0.00061311,0.00022438,,0.00084439
landscape_00014_vox14,71948094,993134,1416976,814016,602456.0,,70.9669,74.8297,22.9203,36.8417,37.4663,,,,0.01131393,0.00837348,,0.01969442
landscape_00014_vox14,71948094,4046979,9686096,4086856,5598336.0,,76.8853,80.8254,25.0383,39.213,40.0832,,,,0.05680284,0.07781076,,0.13462617
landscape_00014_vox14,71948094,15259712,57175944,19878616,37295216.0,,82.5286,86.977,27.9787,42.0303,43.3612,,,,0.27629107,0.51836281,,0.79468323
facade_00064_vox14,19702134,4043,5808,5168,152.0,,46.9992,50.1087,21.9625,36.5678,40.5555,,,,0.00026231,7.71e-06,,0.00029479
facade_00064_vox14,19702134,16957,20400,19184,720.0,,52.8677,55.7079,23.5902,37.3895,40.3635,,,,0.0009737,3.654e-05,,0.00103542
facade_00064_vox14,19702134,67952,79272,70736,8040.0,,58.9711,61.8411,25.758,39.4963,41.5821,,,,0.00359027,0.00040808,,0.00402352
facade_00064_vox14,19702134,1084505,1367864,1106056,261304.0,,70.9701,74.244,28.9667,42.0867,43.9984,,,,0.05613889,0.01326273,,0.0694272
facade_00064_vox14,19702134,4062278,7479816,4899120,2579792.0,,76.8704,80.6717,31.9469,43.8339,45.7003,,,,0.24865936,0.13093972,,0.37964497
facade_00064_vox14,19702134,12756443,37186072,21430512,15753928.0,,82.5297,87.1463,36.1119,45.9724,47.482,,,,1.08772542,0.79960516,,1.88741341
arco_valentino_dense_vox12,1481746,66131,103672,99752,3424.0,,52.9475,58.3203,16.5778,32.8212,32.6044,,,,0.06732058,0.00231079,,0.06996611
arco_valentino_dense_vox12,1481746,232036,513552,471856,41200.0,,58.9239,64.3487,18.4178,34.2296,34.0113,,,,0.31844594,0.02780504,,0.34658572
arco_valentino_dense_vox12,1481746,606465,2221904,1862064,359344.0,,64.8433,70.0383,20.7973,35.8036,35.6087,,,,1.25666882,0.2425139,,1.49951746
arco_valentino_dense_vox12,1481746,1061276,6584664,5140640,1443520.0,,70.4832,75.4566,24.1999,37.2391,36.9217,,,,3.46931255,0.97420206,,4.44385475
arco_valentino_dense_vox12,1481746,1361675,13326688,9901880,3424064.0,,75.2508,80.1973,28.2094,38.7179,38.2998,,,,6.68257583,2.3108306,,8.99390854
arco_valentino_dense_vox12,1481746,1434436,18647064,12771128,5875192.0,,80.0256,84.8603,33.5461,40.6851,40.2785,,,,8.61897248,3.96504664,,12.58452123
staue_klimt_vox12,499660,17760,25568,24008,1064.0,,52.9185,57.0308,17.5924,25.9638,29.0583,,,,0.04804867,0.00212945,,0.0511708
staue_klimt_vox12,499660,72448,117064,103680,12888.0,,58.9224,63.272,20.6323,28.239,30.5549,,,,0.2075011,0.02579354,,0.23428732
staue_klimt_vox12,499660,244127,614192,513752,99944.0,,64.8391,69.4901,24.8495,31.9176,33.4999,,,,1.02820318,0.20002402,,1.22921987
staue_klimt_vox12,499660,483068,2259384,1869768,389112.0,,70.4874,75.5274,29.4915,35.3835,36.5893,,,,3.74208061,0.77875355,,4.52184285
staue_klimt_vox12,499660,497979,4292976,3424272,868200.0,,75.2545,80.6012,34.1631,38.2464,39.3145,,,,6.85320418,1.73758156,,8.59179442
staue_klimt_vox12,499660,499100,5901904,4326528,1574872.0,,80.0298,84.9862,38.7127,41.2075,42.1035,,,,8.65894408,3.15188728,,11.81184005
shiva_00035_vox12,1009132,30045,42936,40336,2104.0,,52.9332,57.1145,16.5099,27.9305,30.441,,,,0.03997098,0.00208496,,0.04254746
shiva_00035_vox12,1009132,121985,205080,182136,22448.0,,58.9221,63.3798,18.5441,29.683,32.068,,,,0.18048779,0.02224486,,0.20322416
shiva_00035_vox12,1009132,418901,1083488,869320,213672.0,,64.8358,69.5278,21.7196,32.1086,34.1662,,,,0.86145321,0.2117384,,1.07368313
shiva_00035_vox12,1009132,900662,4346328,3299032,1046792.0,,70.4771,75.2109,25.9363,34.6834,36.4418,,,,3.26917787,1.0373192,,4.30699651
shiva_00035_vox12,1009132,999900,9106544,6653888,2452152.0,,75.2602,79.5359,31.1213,37.3429,38.5805,,,,6.59367456,2.42996159,,9.02413559
shiva_00035_vox12,1009132,1005954,12680608,8502384,4177720.0,,80.0195,84.615,36.7925,40.3706,41.0098,,,,8.42544286,4.1399143,,12.5658566
egyptian_mask_vox12,272684,47131,64488,62904,1088.0,,52.9141,56.2069,24.0165,35.5767,37.1385,,,,0.2306846,0.00398997,,0.23649352
egyptian_mask_vox12,272684,149156,282008,274792,6720.0,,58.9213,63.1195,27.8692,38.0657,39.0953,,,,1.00773056,0.02464391,,1.03419343
egyptian_mask_vox12,272684,269685,990464,964656,25312.0,,64.8381,69.6976,31.5139,40.0692,40.7629,,,,3.5376333,0.09282539,,3.63227765
egyptian_mask_vox12,272684,272305,1761264,1700504,60256.0,,70.4911,75.4715,34.2416,41.6088,42.2676,,,,6.23617081,0.22097373,,6.45899283
